OBS,SVSPP,PDSCINAMO,PDSCINAMB,PDSCINAM,N_PDL,MIN_PDL,MAX_PDL,MEAN_PDL,SE_PDL,AVE_PDS,SE_PDS
1,1,MYXINE ,GLUTINOSA,MYXINE  GLUTINOSA,4,33,56,43.5,4.7346,0.005,0.0053
2,3,CARCHARHINUS ,OBSCURUS,CARCHARHINUS  OBSCURUS,47,53,212,95.872,4.165,28.882,7.8143
3,4,DASYATIS ,CENTROURA,DASYATIS  CENTROURA,4,76,129,99,11.4237,132.821,81.7793
4,9,CARCHARHINUS,PLUMBEUS,CARCHARHINUS PLUMBEUS,6,104,204,147.167,13.7633,14.767,9.3911
5,12,ODONTASPIS,TAURUS,ODONTASPIS TAURUS,4,213,246,233.75,7.1691,85.89,53.8213
6,13,MUSTELUS,CANIS,MUSTELUS CANIS,619,39,125,86.966,0.7615,32.046,1.5836
7,14,SCYLIORHINUS,RETIFER,SCYLIORHINUS RETIFER,35,15,44,27.629,1.4985,0.783,0.2061
8,15,SQUALUS,ACANTHIAS,SQUALUS ACANTHIAS,2368,22,109,67.669,0.457,8.558,0.6155
9,16,SQUATINA,DUMERIL,SQUATINA DUMERIL,52,32,120,63.538,3.2967,19.447,5.9274
10,18,DASYATIS,SAY,DASYATIS SAY,18,24,118,53.833,6.1931,20.946,8.8487
11,19,MYLIOBATIS,FREMINVILLEI,MYLIOBATIS FREMINVILLEI,8,37,76,60.625,5.4378,9.647,6.2438
12,21,TORPEDO,NOBILIANA,TORPEDO NOBILIANA,7,24,125,69.857,13.5882,5.778,3.4791
13,22,RAJA,LAEVIS,RAJA LAEVIS,2,78,87,82.5,4.5,21.043,15.775
14,23,RAJA,OCELLATA,RAJA OCELLATA,640,19,108,73.131,0.7359,7.079,0.6116
15,24,RAJA,EGLANTERIA,RAJA EGLANTERIA,44,38,64,54.136,1.0254,5.483,1.8006
16,25,RAJA,GARMANI,RAJA GARMANI,16,20,42,33.5,1.4549,0.573,0.166
17,26,RAJA,ERINACEA,RAJA ERINACEA,1329,7,58,38.467,0.3266,0.993,0.0428
18,27,RAJA,SENTA,RAJA SENTA,29,18,66,42.862,2.3112,2.316,0.722
19,28,RAJA,RADIATA,RAJA RADIATA,221,12,103,54.606,1.6423,9.327,2.5848
20,29,DASYATIS,AMERICANA,DASYATIS AMERICANA,1,84,84,84,.,17.218,.
21,31,ETRUMEUS,TERES,ETRUMEUS TERES,93,10,16,11.72,0.1577,0.09,0.0216
22,32,CLUPEA,HARENGUS,CLUPEA HARENGUS,126,12,32,22.849,0.4876,0.555,0.1217
23,33,ALOSA,PSEUDOHARENGUS,ALOSA PSEUDOHARENGUS,211,7,32,22.384,0.4039,0.732,0.0825
24,34,ALOSA,AESTIVALIS,ALOSA AESTIVALIS,8,14,25,20.25,1.2783,0.011,0.0079
25,35,ALOSA,SAPIDISSIMA,ALOSA SAPIDISSIMA,19,15,48,26.526,1.7461,1.479,0.3767
26,36,BREVOORTIA,TYRANNUS,BREVOORTIA TYRANNUS,34,12,28,20.853,0.7079,0.083,0.0217
27,44,ANCHOA,HEPSETUS,ANCHOA HEPSETUS,15,11,12,11.867,0.0909,0.071,0.0365
28,46,ARGENTINA,SILUS,ARGENTINA SILUS,178,9,43,31.017,0.3908,0.16,0.0564
29,56,MYCTOPHIDAE,10,MYCTOPHIDAE 10,8,9,8.2,0.1333,0.057,0.021,
30,63,CONGER,OCEANICUS,CONGER OCEANICUS,8,40,90,60.875,5.78,5.487,5.4448
31,64,SIMENCHELYS,PARASITICUS,SIMENCHELYS PARASITICUS,1,11,11,11,.,0,.
32,65,OPHICHTHUS,CRUENTIFER,OPHICHTHUS CRUENTIFER,2,40,41,40.5,0.5,0.111,0.0945
33,69,MERLUCCIUS,ALBIDUS,MERLUCCIUS ALBIDUS,17,13,35,27.294,1.8145,0.007,0.0048
34,72,MERLUCCIUS,BILINEARIS,MERLUCCIUS BILINEARIS,4453,3,76,22.281,0.1816,1.899,0.1576
35,73,GADUS,MORHUA,GADUS MORHUA,1977,3,150,51.564,0.5837,25.275,2.1104
36,74,MELANOGRAMMUS,AEGLEFINUS,MELANOGRAMMUS AEGLEFINUS,1978,8,87,42.212,0.4106,3.387,0.1817
37,75,POLLACHIUS,VIRENS,POLLACHIUS VIRENS,601,16,120,63.16,0.9061,12.263,1.7951
38,76,UROPHYCIS,TENUIS,UROPHYCIS TENUIS,668,7,113,48.419,0.7081,15.933,3.596
39,77,UROPHYCIS,CHUSS,UROPHYCIS CHUSS,1881,4,72,29.913,0.2785,1.759,0.1204
40,78,UROPHYCIS,REGIA,UROPHYCIS REGIA,479,5,38,20.507,0.2988,1.144,0.2022
41,79,UROPHYCIS,CHESTERI,UROPHYCIS CHESTERI,17,16,35,20.824,1.2725,0.171,0.0553
42,83,ENCHELYOPUS,CIMBRIUS,ENCHELYOPUS CIMBRIUS,5,15,32,23,2.8107,0.055,0.0275
43,84,BROSME,BROSME,BROSME BROSME,62,15,100,67.113,2.4787,0.381,0.1457
44,90,MACROURIDAE,3,MACROURIDAE 3,27,28,27.333,0.3333,0.137,0.0312,
45,91,NEZUMIA,BAIRDI,NEZUMIA BAIRDI,10,16,26,20.2,1.25433,0.258,0.052
46,93,COELORHYNCHUS,CARMINATUS,COELORHYNCHUS CARMINATUS,18,11,24,16.111,0.7226,0.201,0.056
47,101,HIPPOGLOSSUS,HIPPOGLOSSUS,HIPPOGLOSSUS HIPPOGLOSSUS,102,27,120,56.775,1.93171,24.106,5.698
48,102,HIPPOGLOSSOIDES,PLATESSOIDES,HIPPOGLOSSOIDES PLATESSOIDES,1402,4,70,29.174,0.34794,0.665,0.083
49,103,PARALICHTHYS,DENTATUS,PARALICHTHYS DENTATUS,632,15,82,36.161,0.43493,3.021,0.577
50,104,PARALICHTHYS,OBLONGUS,PARALICHTHYS OBLONGUS,500,3,42,26.134,0.21035,0.443,0.086
51,105,PLEURONECTES,FERRUGINEUS,PLEURONECTES FERRUGINEUS,1045,3,58,29.455,0.30005,0.439,0.052
52,106,PLEURONECTES,AMERICANUS,PLEURONECTES AMERICANUS,1545,8,65,31.715,0.24695,1.627,0.109
53,107,GLYPTOCEPHALUS,CYNOGLOSSUS,GLYPTOCEPHALUS CYNOGLOSSUS,733,5,62,44.142,0.39434,0.5,0.027
54,108,SCOPHTHALMUS,AQUOSUS,SCOPHTHALMUS AQUOSUS,1024,3,38,24.295,0.1875,0.664,0.05
55,109,CITHARICHTHYS,ARCTIFRONS,CITHARICHTHYS ARCTIFRONS,214,5,18,10.173,0.22052,0.018,0.002
56,111,MACRORHAMPHOSUS,SCOLOPAX,MACRORHAMPHOSUS SCOLOPAX,2,12,13,12.5,0.5,0,0
57,112,ZENOPSIS,CONCHIFERA,ZENOPSIS CONCHIFERA,1,15,15,15,.,0,.
58,116,SYNGNATHUS,FUSCUS,SYNGNATHUS FUSCUS,36,13,24,18.722,0.47411,0.001,0.001
59,121,SCOMBER,SCOMBRUS,SCOMBER SCOMBRUS,110,16,42,29.082,0.84624,2.314,0.589
60,123,SARDA,SARDA,SARDA SARDA,3,50,54,52.333,1.20185,8.479,4.013
61,124,SCOMBER,JAPONICUS,SCOMBER JAPONICUS,25,14,21,18.68,0.33526,0.144,0.026
62,126,TRICHIURUS,LEPTURUS,TRICHIURUS LEPTURUS,11,44,54,48.545,0.91814,0.081,0.033
63,127,PROMETHICHTHYS,PROMETHEUS,PROMETHICHTHYS PROMETHEUS,1,25,25,25,.,0,.
64,131,PEPRILUS,TRIACANTHUS,PEPRILUS TRIACANTHUS,1823,3,23,12.746,0.08963,0.123,0.007
65,135,POMATOMUS,SALTATRIX,POMATOMUS SALTATRIX,536,9,83,35.604,0.8115,15.775,1.912
66,136,MICROPOGON,UNDULATUS,MICROPOGON UNDULATUS,242,11,45,25.335,0.32181,0.81,0.109
67,139,MORONE,SAXATILIS,MORONE SAXATILIS,2,102,112,107,5,542.295,203.705
68,141,CENTROPRISTIS,STRIATA,CENTROPRISTIS STRIATA,647,4,55,21.403,0.33801,1.072,0.107
