OBS,SVSPP,PDSCINAMO,PDSCINAMB,PDSCINAM,MIN_PDL,N_PDL,MAX_PDL,MEAN_PDL,SE_PDL,AVE_PDS,SE_PDS
1,3,CARCHARHINUS,OBSCURUS,CARCHARHINUS OBSCURUS,19,49,172,104.421,5.8216,43.868,15.119
2,4,DASYATIS,CENTROURA,DASYATIS CENTROURA,9,74,121,98.222,6.3307,56.656,25.916
3,9,CARCHARHINUS,PLUMBEUS,CARCHARHINUS PLUMBEUS,57,61,175,105.93,4.8372,77.009,30.746
4,12,ODONTASPIS,TAURUS,ODONTASPIS TAURUS,3,106,220,146.667,36.7393,371.667,314.912
5,13,MUSTELUS,CANIS,MUSTELUS CANIS,1680,43,130,88.547,0.5115,43.953,1.447
6,14,SCYLIORHINUS,RETIFER,SCYLIORHINUS RETIFER,1,40,40,40,.,2,.
7,15,SQUALUS,ACANTHIAS,SQUALUS ACANTHIAS,19620,20,114,69.495,0.1395,14.981,0.347
8,16,SQUATINA,DUMERIL,SQUATINA DUMERIL,96,28,120,83.625,2.9281,35.081,5.955
9,18,DASYATIS,SAY,DASYATIS SAY,49,21,107,56.388,2.9523,30.533,6.526
10,19,MYLIOBATIS,FREMINVILLEI,MYLIOBATIS FREMINVILLEI,64,30,119,57.688,2.8839,21.641,5.439
11,21,TORPEDO,NOBILIANA,TORPEDO NOBILIANA,7,35,101,66.429,10.5917,4.014,2.475
12,22,RAJA,LAEVIS,RAJA LAEVIS,4,42,85,60.5,9.06,17.5,12.626
13,23,RAJA,OCELLATA,RAJA OCELLATA,3603,15,109,67.331,0.3594,9.527,0.459
14,24,RAJA,EGLANTERIA,RAJA EGLANTERIA,116,27,73,58.802,0.8377,6.272,0.773
15,25,RAJA,GARMANI,RAJA GARMANI,8,33,43,37,1.1952,1.263,0.448
16,26,RAJA,ERINACEA,RAJA ERINACEA,3626,10,61,41.426,0.1338,3.756,0.086
17,27,RAJA,SENTA,RAJA SENTA,135,11,64,44.956,1.1414,4.328,0.503
18,28,RAJA,RADIATA,RAJA RADIATA,919,12,107,49.669,0.6956,9.88,0.952
19,31,ETRUMEUS,TERES,ETRUMEUS TERES,10,13,15,14.1,0.2333,1.65,0.15
20,32,CLUPEA,HARENGUS,CLUPEA HARENGUS,539,16,33,26.065,0.1424,1.255,0.123
21,33,ALOSA,PSEUDOHARENGUS,ALOSA PSEUDOHARENGUS,134,15,34,23.821,0.3083,1.216,0.141
22,34,ALOSA,AESTIVALIS,ALOSA AESTIVALIS,71,9,27,21.282,0.5012,0.779,0.144
23,35,ALOSA,SAPIDISSIMA,ALOSA SAPIDISSIMA,22,10,52,24.409,2.0719,1.564,1.356
24,46,ARGENTINA,SILUS,ARGENTINA SILUS,5,28,44,31.6,3.1081,0.4,0.4
25,63,CONGER,OCEANICUS,CONGER OCEANICUS,4,45,81,64.25,7.4092,23.75,8.509
26,69,MERLUCCIUS,ALBIDUS,MERLUCCIUS ALBIDUS,62,15,52,35.774,1.0547,2.211,1.005
27,72,MERLUCCIUS,BILINEARIS,MERLUCCIUS BILINEARIS,13766,6,66,27.407,0.0612,3.019,0.106
28,73,GADUS,MORHUA,GADUS MORHUA,6943,9,140,55.035,0.2422,27.526,0.962
