Region,Zone,Reef,Site,Transect,Apex,ApexSR,Tpred,TpredSR,Ntpred,NtpredSR,Mherb,MherbSR,Tgraz,TgrazSR,Coral,Macro,Turf,CCA,Rubble,Algae,All_Benthos,%Macro,%Turf
Swains,G,HP3,1,1,5.098039216,2.257883791,13,3.605551275,2,1.414213562,40,6.32455532,7,2.645751311,65,3,11,0,19,14,98,0.030612245,0.112244898
Swains,G,HP3,1,2,5.098039216,2.257883791,10,3.16227766,4,2,105,10.24695077,11,3.31662479,71,0,18,0,6,18,95,0,0.189473684
Swains,G,HP3,1,3,5.098039216,2.257883791,7,2.645751311,2,1.414213562,58,7.615773106,11,3.31662479,38,2,31,0,19,33,90,0.022222222,0.344444444
Swains,G,HP3,1,4,5.098039216,2.257883791,6,2.449489743,4,2,94,9.695359715,7,2.645751311,62,2,22,0,8,24,94,0.021276596,0.234042553
Swains,G,HP3,2,5,5.098039216,2.257883791,16,4,2,1.414213562,8,2.828427125,8,2.828427125,43,2,27,0,25,29,97,0.020618557,0.278350515
Swains,G,HP3,2,6,5.098039216,2.257883791,25,5,3,1.732050808,67,8.185352772,5,2.236067977,52,0,33,0,15,33,100,0,0.33
Swains,G,HP3,2,7,5.098039216,2.257883791,12,3.464101615,24,4.898979486,19,4.358898944,6,2.449489743,60,2,19,0,15,21,96,0.020833333,0.197916667
Swains,G,HP3,2,8,5.098039216,2.257883791,13,3.605551275,11,3.31662479,8,2.828427125,10,3.16227766,40,0,35,0,17,35,92,0,0.380434783
Swains,G,HP3,3,9,5.098039216,2.257883791,17,4.123105626,7,2.645751311,31,5.567764363,11,3.31662479,59,0,22,2,1,22,84,0,0.261904762
Swains,G,HP3,3,10,5.098039216,2.257883791,21,4.582575695,6,2.449489743,35,5.916079783,5,2.236067977,63,2,22,1,3,24,91,0.021978022,0.241758242
Swains,G,HP3,3,11,5.098039216,2.257883791,11,3.31662479,11,3.31662479,15,3.872983346,9,3,52,0,19,3,1,19,75,0,0.253333333
Swains,G,HP3,3,12,5.098039216,2.257883791,17,4.123105626,11,3.31662479,21,4.582575695,8,2.828427125,61,0,30,2,0,30,93,0,0.322580645
Swains,G,HP3,4,13,5.098039216,2.257883791,17,4.123105626,8,2.828427125,29,5.385164807,9,3,75,10,10,2,0,20,97,0.103092784,0.103092784
Swains,G,HP3,4,14,5.098039216,2.257883791,11,3.31662479,5,2.236067977,107,10.34408043,10,3.16227766,76,0,19,1,1,19,97,0,0.195876289
Swains,G,HP3,4,15,5.098039216,2.257883791,20,4.472135955,0,0,70,8.366600265,5,2.236067977,59,12,24,0,2,36,97,0.12371134,0.24742268
Swains,G,HP3,4,16,5.098039216,2.257883791,9,3,2,1.414213562,81,9,6,2.449489743,62,4,25,1,2,29,94,0.042553191,0.265957447
Swains,P,Bell,5,17,4.931824775,2.220771212,4,2,1,1,10,3.16227766,20,4.472135955,57,2,27,3,3,29,92,0.02173913,0.293478261
