Date,Area,Location,Common Name,Species Name,Fate,Reason for euthanasia,Marine Park
04/07/2020,Townsville,Horseshoe Bay,TIGER SHARK,Galeocerdo cuvier,Deceased,,State
06/07/2020,Mackay,Bucasia Beach,BULL WHALER,Carcharhinus leucas,Deceased,,Commonwealth
13/07/2020,Townsville,Horseshoe Bay,TIGER SHARK,Galeocerdo cuvier,Euthanised ,Target Species,State
14/07/2020,Townsville,Radical Bay,HAMMERHEAD SHARK,Sphyrna sp.,Deceased,,Commonwealth
18/07/2020,Cairns,Ellis Beach,TIGER SHARK,Galeocerdo cuvier,Released Alive,,Commonwealth
22/07/2020,Townsville,Radical Bay,TIGER SHARK,Galeocerdo cuvier,Released Alive,,Commonwealth
26/07/2020,Townsville,Picnic Bay,TIGER SHARK,Galeocerdo cuvier,Deceased,,Commonwealth
27/07/2020,Townsville,Horseshoe Bay,CATFISH,Netuma thalassinus,Deceased,,State
27/07/2020,Mackay,Blacks Beach,TIGER SHARK,Galeocerdo cuvier,Released Alive,,Commonwealth
31/07/2020,Cairns,Palm Cove,SCALLOPED HAMMERHEAD,Sphyrna lewini,Deceased,,Commonwealth
02/08/2020,Townsville,Nelly Bay,TIGER SHARK,Galeocerdo cuvier,Deceased,,Commonwealth
05/08/2020,Townsville,Horseshoe Bay,COMMON BLACKTIP WHALER,Carcharhinus limbatus,Deceased,,State
08/08/2020,Cairns,Palm Cove,LONG NOSE WHALER,Carcharhinus brevipinna,Deceased,,Commonwealth
08/08/2020,Townsville,Horseshoe Bay,SHARPTOOTH SHARK,Negaprion brevirostris,Euthanised ,Target Species,State
08/08/2020,Townsville,Horseshoe Bay,SPOT-TAIL WHALER,Carcharhinus sorrah,Deceased,,State
10/08/2020,Townsville,Horseshoe Bay,CATFISH,Netuma thalassinus,Deceased,,State
12/08/2020,Cairns,Holloways,TIGER SHARK,Galeocerdo cuvier,Deceased,,State
13/08/2020,Townsville,Horseshoe Bay,CATFISH,Netuma thalassinus,Deceased,,State
13/08/2020,Cairns,Ellis Beach,PIGEYE WHALER,Carcharhinus amboinensis,Deceased,,Commonwealth
13/08/2020,Townsville,Alma Bay,TIGER SHARK,Galeocerdo cuvier,Released Alive,,Commonwealth
